threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.72,0.8581436077057794,0.3273213092852371,0.4738878143133462,980,162,82274,2014,1142,38.06666666666667,32.666666666666664
0.725,0.8607929515418502,0.3263193052772211,0.4732380721724388,977,158,82278,2017,1135,37.833333333333336,32.56666666666667
0.73,0.8634751773049646,0.32531730126920505,0.472586123241145,974,154,82282,2020,1128,37.6,32.46666666666667
0.735,0.8672014260249554,0.32498329993319974,0.4727891156462586,973,149,82287,2021,1122,37.4,32.43333333333333
0.74,0.8684684684684685,0.32197728790915164,0.469785575048733,964,146,82290,2030,1110,37.0,32.13333333333333
0.745,0.8698817106460418,0.3193052772211089,0.46713901783532874,956,143,82293,2038,1099,36.63333333333333,31.866666666666667
0.75,0.8712051517939282,0.3162992651970608,0.4641019358000491,947,140,82296,2047,1087,36.233333333333334,31.566666666666666
0.755,0.8724584103512015,0.3152972611890448,0.463199214916585,944,138,82298,2050,1082,36.06666666666667,31.466666666666665
0.76,0.8734883720930232,0.313627254509018,0.4615384615384615,939,136,82300,2055,1075,35.833333333333336,31.3
0.765,0.8765201122544434,0.31295925183700735,0.46123554024120106,937,132,82304,2057,1069,35.63333333333333,31.233333333333334
0.77,0.8773584905660378,0.3106212424849699,0.45880611741489874,930,130,82306,2064,1060,35.333333333333336,31.0
0.775,0.877025738798856,0.3072812291249165,0.45510759337125894,920,129,82307,2074,1049,34.96666666666667,30.666666666666668
0.78,0.8788461538461538,0.30527722110888444,0.4531482399603372,914,126,82310,2080,1040,34.666666666666664,30.466666666666665
0.785,0.8797284190106692,0.302939211756847,0.4506832298136645,907,124,82312,2087,1031,34.36666666666667,30.233333333333334
0.79,0.880859375,0.3012692050768203,0.4489795918367347,902,122,82314,2092,1024,34.13333333333333,30.066666666666666
0.795,0.8803921568627451,0.2999331997327989,0.447433981066268,898,122,82314,2096,1020,34.0,29.933333333333334
0.8,0.8806706114398422,0.2982631930527722,0.44560878243512975,893,121,82315,2101,1014,33.8,29.766666666666666
0.805,0.8808341608738828,0.29625918503674015,0.443389152711822,887,120,82316,2107,1007,33.56666666666667,29.566666666666666
0.81,0.8825301204819277,0.2935871743486974,0.4406015037593985,879,117,82319,2115,996,33.2,29.3
0.815,0.8836032388663968,0.29158316633266534,0.4384731290808639,873,115,82321,2121,988,32.93333333333333,29.1
0.82,0.8846938775510204,0.2895791583166333,0.43633618520382483,867,113,82323,2127,980,32.666666666666664,28.9
0.825,0.8885448916408669,0.2875751503006012,0.4345193035579107,861,108,82328,2133,969,32.3,28.7
0.83,0.8870292887029289,0.2832331329325317,0.429367088607595,848,108,82328,2146,956,31.866666666666667,28.266666666666666
0.835,0.8892405063291139,0.281563126252505,0.4277016742770168,843,105,82331,2151,948,31.6,28.1
0.84,0.8891257995735607,0.2785571142284569,0.42421159715157675,834,104,82332,2160,938,31.266666666666666,27.8
0.845,0.889967637540453,0.2755511022044088,0.42081101759755163,825,102,82334,2169,927,30.9,27.5
0.85,0.8950819672131147,0.27354709418837675,0.41903300076745964,819,96,82340,2175,915,30.5,27.3
0.855,0.8952590959206174,0.2712090848363393,0.4163035119200205,812,95,82341,2182,907,30.233333333333334,27.066666666666666
0.86,0.8974069898534386,0.26586506346025385,0.4102035557845916,796,91,82345,2198,887,29.566666666666666,26.533333333333335
0.865,0.8972602739726028,0.2625250501002004,0.4062015503875969,786,90,82346,2208,876,29.2,26.2
0.87,0.8987194412107101,0.2578490313961256,0.40072670646249675,772,87,82349,2222,859,28.633333333333333,25.733333333333334
0.875,0.8989298454221165,0.25250501002004005,0.3942633637548892,756,85,82351,2238,841,28.033333333333335,25.2
0.88,0.8990384615384616,0.24983299933199732,0.39100888656560373,748,84,82352,2246,832,27.733333333333334,24.933333333333334
0.885,0.898034398034398,0.24415497661990648,0.3839285714285714,731,83,82353,2263,814,27.133333333333333,24.366666666666667
0.89,0.9013732833957553,0.24114896459585838,0.38050065876152833,722,79,82357,2272,801,26.7,24.066666666666666
0.895,0.9022842639593909,0.2374749498997996,0.3759915388683236,711,77,82359,2283,788,26.266666666666666,23.7
0.9,0.9056847545219638,0.23413493653974615,0.37208067940552014,701,73,82363,2293,774,25.8,23.366666666666667
0.905,0.9035667107001321,0.22845691382765532,0.3647027459344175,684,73,82363,2310,757,25.233333333333334,22.8
0.91,0.9056603773584906,0.22444889779559118,0.35974304068522484,672,70,82366,2322,742,24.733333333333334,22.4
0.915,0.906721536351166,0.2207748830995324,0.35508998119795865,661,68,82368,2333,729,24.3,22.033333333333335
0.92,0.9084507042253521,0.2154308617234469,0.34827213822894165,645,65,82371,2349,710,23.666666666666668,21.5
0.925,0.9080459770114943,0.21108884435537742,0.3425474254742547,632,64,82372,2362,696,23.2,21.066666666666666
0.93,0.9073529411764706,0.20607882431529725,0.33587370713119213,617,63,82373,2377,680,22.666666666666668,20.566666666666666
0.935,0.9151515151515152,0.2017368069472278,0.33059660645867545,604,56,82380,2390,660,22.0,20.133333333333333
0.94,0.9180064308681672,0.19071476285905142,0.31581858407079644,571,51,82385,2423,622,20.733333333333334,19.033333333333335
0.945,0.9168081494057725,0.18036072144288579,0.30142338822216025,540,49,82387,2454,589,19.633333333333333,18.0
0.95,0.9176882661996497,0.17501670006680026,0.29396914446002803,524,47,82389,2470,571,19.033333333333335,17.466666666666665
0.955,0.9205175600739371,0.16633266533066132,0.28175388967468173,498,43,82393,2496,541,18.033333333333335,16.6
0.96,0.9186046511627907,0.15831663326653306,0.2700854700854701,474,42,82394,2520,516,17.2,15.8
0.965,0.920997920997921,0.1479625918503674,0.25496402877697844,443,38,82398,2551,481,16.033333333333335,14.766666666666667
0.97,0.9223946784922394,0.13894455577822312,0.24150943396226415,416,35,82401,2578,451,15.033333333333333,13.866666666666667
0.975,0.9253731343283582,0.12424849699398798,0.21908127208480566,372,30,82406,2622,402,13.4,12.4
0.98,0.9299719887955182,0.11088844355377421,0.1981498060280513,332,25,82411,2662,357,11.9,11.066666666666666
0.985,0.9444444444444444,0.09084836339345358,0.16575258988421696,272,16,82420,2722,288,9.6,9.066666666666666
0.99,0.9569377990430622,0.06680026720106881,0.12488292226038089,200,9,82427,2794,209,6.966666666666667,6.666666666666667
