feature,source,gain,group,gain_share
num__V219,V219,1.1163371801376343,V,0.0006908791769024859
num__V168,V168,1.112654447555542,V,0.0006886000059670932
num__V216,V216,1.1061718463897705,V,0.0006845880513020671
num__V166,V166,1.1035329103469849,V,0.0006829548655643017
num__V290,V290,1.101616621017456,V,0.000681768911698169
num__V37,V37,1.1001657247543335,V,0.0006808709804692607
num__id_20,id_20,1.0999305248260498,identity,0.0006807254198485528
num__V1,V1,1.0877436399459839,V,0.0006731831959176905
num__V261,V261,1.084841012954712,V,0.0006713868170258421
num__D3,D3,1.0828654766082764,D,0.0006701641963434439
cat__M3_T,M3,1.0813502073287964,M,0.0006692264259177884
cat__id_38_F,id_38,1.0808403491973877,identity,0.0006689108847242923
cat__M2_F,M2,1.0730328559875488,M,0.000664078980369176
num__id_18,id_18,1.0657271146774292,identity,0.0006595576004198173
num__V81,V81,1.062205195426941,V,0.0006573779537000024
cat__id_37_F,id_37,1.0616908073425293,identity,0.000657059609007476
num__V332,V332,1.0596189498901367,V,0.0006557773770825376
num__V190,V190,1.0523697137832642,V,0.0006512909670947681
num__V215,V215,1.0517988204956055,V,0.0006509376524406525
cat__card4_visa,card4,1.039980173110962,card,0.0006436233234704424
num__V212,V212,1.0367472171783447,V,0.0006416225104782484
num__V5,V5,1.0301508903503418,V,0.0006375401732323022
num__V306,V306,1.0284503698349,V,0.000636487754451563
cat__M3_F,M3,1.0221432447433472,M,0.0006325843984858182
num__V196,V196,1.0206137895584106,V,0.0006316378486816202
num__id_13,id_13,1.020017147064209,identity,0.0006312685983488057
num__V185,V185,1.013418436050415,V,0.000627184785577054
num__V252,V252,1.010277509689331,V,0.0006252409278809505
freq__freq_card5,card5,1.0094871520996094,frequency,0.0006247517910764428
num__V71,V71,1.0090107917785645,V,0.0006244569810205134
cat__M9_F,M9,1.0079326629638672,M,0.0006237897482512877
num__V84,V84,1.004019856452942,V,0.0006213681890756688
num__V337,V337,1.0030267238616943,V,0.0006207535588014074
num__V234,V234,1.0027556419372559,V,0.0006205857915173275
num__TransactionAmt,TransactionAmt,0.9992137551307678,amount,0.000618393787268892
num__V167,V167,0.9962233304977417,V,0.0006165430721392577
num__V239,V239,0.9861273169517517,V,0.0006102948474516325
num__V48,V48,0.9858585000038147,V,0.0006101284819170676
freq__freq_id_31,id_31,0.9755735993385315,frequency,0.0006037633586975054
num__V100,V100,0.9750804901123047,V,0.0006034581830727926
num__V307,V307,0.9691395163536072,V,0.0005997814309826202
