threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.905,1068863.008,833.7871,1069696.7951,1913,104,5617,0.010606857383256205,0.9484382746653446,0.2540504648074369,0.4007541636116058
0.91,1073118.637,748.6195999999999,1073867.2566000002,1881,101,5649,0.01042280185107278,0.9490413723511605,0.249800796812749,0.39550042052144657
0.915,1078974.171,709.3638000000001,1079683.5348,1843,96,5687,0.010196676482961716,0.9504899432697267,0.2447543160690571,0.3892702502904214
0.92,1082838.756,654.1113,1083492.8673,1803,87,5727,0.009938998737904922,0.953968253968254,0.2394422310756972,0.3828025477707006
0.925,1086878.793,619.1773000000001,1087497.9703000002,1762,82,5768,0.009697097181320993,0.955531453362256,0.23399734395750332,0.3759334328995093
0.93,1092428.9300000002,563.2157,1092992.1457000002,1713,74,5817,0.00939734960033656,0.9585898153329603,0.22749003984063745,0.36771492969840075
0.935,1098311.108,544.0983,1098855.2063,1664,70,5866,0.009118636937315945,0.9596309111880046,0.22098273572377158,0.35924006908462863
0.94,1108868.038,435.41419999999994,1109303.4522,1602,57,5928,0.008724232225494321,0.9656419529837251,0.21274900398406374,0.34867776689520075
0.945,1120533.481,394.3966999999999,1120927.8776999998,1530,52,6000,0.008319310054690787,0.9671302149178256,0.20318725099601595,0.3358208955223881
0.95,1127326.509,335.97119999999995,1127662.4802,1470,50,6060,0.007993268826251577,0.9671052631578947,0.1952191235059761,0.32486187845303865
0.955,1134005.514,310.5942999999999,1134316.1083,1411,46,6119,0.007661968868321414,0.9684282772820865,0.18738379814077025,0.31400912429064204
0.96,1141629.851,295.2047999999999,1141925.0558,1322,43,6208,0.0071781657551535545,0.9684981684981685,0.1755644090305445,0.2972456436200112
0.965,1150784.7179999999,275.41409999999996,1151060.1320999998,1233,39,6297,0.006689103912494741,0.9693396226415094,0.16374501992031873,0.2801635991820041
0.97,1160045.681,270.1998,1160315.8808000002,1132,38,6398,0.006152713504417333,0.9675213675213675,0.150332005312085,0.26022988505747124
0.975,1174186.893,237.49390000000005,1174424.3868999998,991,31,6539,0.005374421539755995,0.9696673189823874,0.13160690571049136,0.2317586529466791
0.98,1188566.938,177.61220000000003,1188744.5502000002,866,28,6664,0.004701304164913757,0.9686800894854586,0.1150066401062417,0.20560303893637227
0.985,1209476.1809999999,127.06020000000001,1209603.2411999998,666,23,6864,0.0036232646192679847,0.9666182873730044,0.08844621513944223,0.16206351137607983
0.99,1231806.3820000002,91.03100000000003,1231897.4130000002,463,14,7067,0.002508413967185528,0.9706498951781971,0.06148738379814077,0.11564880729361808
