threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.88,1041806.3599999999,981.2497,1042787.6096999999,2087,109,5443,0.011548169962137148,0.9503642987249544,0.2771580345285525,0.42915895537733906
0.885,1044035.8200000001,973.5459999999999,1045009.366,2060,108,5470,0.011400925536390409,0.9501845018450185,0.2735723771580345,0.42482986182718085
0.89,1051434.758,951.6314000000001,1052386.3894,2027,105,5503,0.01121161127471603,0.950750469043152,0.26918990703851264,0.4195818671082591
0.895,1053996.316,917.2022999999999,1054913.5183,2001,100,5529,0.011048590660496424,0.9524036173250833,0.2657370517928287,0.4155331741252206
0.9,1057591.662,853.8313,1058445.4933,1970,97,5560,0.010869793857803954,0.9530720851475568,0.26162018592297476,0.4105449619672814
0.905,1062467.287,837.7532,1063305.0402,1935,93,5595,0.01066470340765671,0.9541420118343196,0.25697211155378485,0.4048964218455744
0.91,1065649.801,810.1410999999999,1066459.9420999999,1899,91,5631,0.01046487168700042,0.9542713567839196,0.25219123505976093,0.3989495798319328
0.915,1069768.2829999998,712.5323000000001,1070480.8153,1859,85,5671,0.010222970130416491,0.956275720164609,0.24687915006640107,0.3924424741397509
0.92,1076229.54,624.5308,1076854.0708,1811,80,5719,0.009944257467395877,0.9576943416181914,0.2405046480743692,0.3844602483812759
0.925,1082524.898,568.4172,1083093.3152,1766,72,5764,0.009665544804375262,0.9608269858541894,0.23452855245683932,0.3770281810418446
0.93,1089709.7010000001,541.8016,1090251.5026,1717,68,5813,0.009386832141354648,0.9619047619047619,0.22802124833997345,0.3686527106816962
0.935,1095356.727,534.0859,1095890.8129,1668,67,5862,0.0091238956668069,0.9613832853025936,0.22151394422310758,0.3600647598488937
0.94,1100477.43,518.8598,1100996.2898,1622,64,5908,0.008866217921750106,0.9620403321470937,0.21540504648074368,0.35199652777777773
0.945,1104713.8479999998,514.7572,1105228.6051999999,1575,63,5955,0.008613798906184265,0.9615384615384616,0.20916334661354583,0.343586387434555
0.95,1112038.042,460.31489999999997,1112498.3569,1523,56,6007,0.008303533866217922,0.9645345155161494,0.20225763612217795,0.33439455483587666
0.955,1121191.811,430.23099999999994,1121622.042,1466,50,6064,0.007972233908287758,0.9670184696569921,0.1946879150066401,0.32412115852310414
0.96,1128886.639,339.5788999999999,1129226.2179,1376,42,6154,0.007456878418174169,0.9703808180535967,0.18273572377158034,0.3075547608404113
0.965,1137823.1739999999,273.3952999999999,1138096.5692999999,1287,38,6243,0.006967816575515356,0.9713207547169811,0.17091633466135459,0.2906832298136646
0.97,1146660.949,253.85280000000003,1146914.8018,1184,35,6346,0.006410391249474127,0.9712879409351928,0.15723771580345286,0.2706595039433078
0.975,1154648.082,242.8925,1154890.9745,1099,33,6431,0.005952881783761043,0.9708480565371025,0.14594953519256307,0.2537520203186331
0.98,1167429.766,227.41250000000005,1167657.1785000002,974,29,6556,0.00527450567942785,0.9710867397806581,0.12934926958831341,0.22829016758467124
0.985,1186188.1679999998,198.80919999999998,1186386.9771999998,815,23,6715,0.004406815313420277,0.9725536992840096,0.10823373173970784,0.19478967495219887
0.99,1211153.459,156.2489,1211309.7079,595,14,6935,0.003202566259991586,0.9770114942528736,0.07901726427622842,0.14620960805995822
