feature,source,gain,group,gain_share
num__V234,V234,7.7767133712768555,V,0.0009235575622195652
num__V303,V303,7.744113922119141,V,0.0009196860722524795
num__D4,D4,7.697444915771484,D,0.0009141436905706695
num__id_24,id_24,7.680403709411621,identity,0.0009121198876797046
num__V146,V146,7.669748783111572,V,0.000910854515370157
num__V207,V207,7.645884990692139,V,0.0009080204664731501
num__V273,V273,7.582716464996338,V,0.0009005186123073409
num__card1,card1,7.574225425720215,card,0.0008995102218523794
num__id_25,id_25,7.52764892578125,identity,0.0008939788261731676
num__V213,V213,7.518438339233398,V,0.0008928849827392351
num__V307,V307,7.516012668609619,V,0.0008925969116298742
num__V259,V259,7.509407043457031,V,0.0008918124317639461
num__V160,V160,7.496016502380371,V,0.0008902221795734465
num__V261,V261,7.492362976074219,V,0.000889788289099705
num__V219,V219,7.485034465789795,V,0.0008889179598526503
num__V190,V190,7.480348587036133,V,0.0008883614678550703
num__V195,V195,7.456798076629639,V,0.0008855646241318103
num__V51,V51,7.454039573669434,V,0.0008852370260646484
freq__freq_DeviceInfo,DeviceInfo,7.428261756896973,frequency,0.0008821756688458458
num__V52,V52,7.419705867767334,V,0.0008811595768632898
num__V4,V4,7.384683132171631,V,0.0008770002989312401
num__V316,V316,7.375095367431641,V,0.0008758616620537251
num__V270,V270,7.37178897857666,V,0.0008754689974041658
num__V131,V131,7.359593391418457,V,0.0008740206571853701
num__D8,D8,7.350094318389893,D,0.000872892553279418
num__V306,V306,7.340878963470459,V,0.0008717981435566919
freq__freq_id_33,id_33,7.321183204650879,frequency,0.0008694590876942679
num__V338,V338,7.309418678283691,V,0.0008680619399824238
num__V313,V313,7.267336845397949,V,0.000863064328120164
num__V48,V48,7.242364406585693,V,0.0008600986170786193
num__V43,V43,7.2371625900268555,V,0.0008594808526335598
num__V288,V288,7.220498085021973,V,0.000857501786557298
cat__id_15_Unknown,id_15,7.21934175491333,identity,0.000857364461524823
num__V231,V231,7.202000141143799,V,0.0008553049824398543
num__dist1,dist1,7.184919834136963,dist,0.000853276535980781
num__V184,V184,7.160266876220703,V,0.0008503487662884149
num__V22,V22,7.144185543060303,V,0.000848438957331624
num__V245,V245,7.13967752456665,V,0.0008479035879060495
num__V35,V35,7.131124019622803,V,0.0008468877790678903
num__V253,V253,7.127135276794434,V,0.000846414078491951
num__V81,V81,7.089064598083496,V,0.000841892828762961
num__V26,V26,7.087001800537109,V,0.0008416478522308016
num__id_21,id_21,7.080946445465088,identity,0.0008409287220916678
num__V7,V7,7.05411958694458,V,0.0008377427813382488
num__V331,V331,7.0185675621032715,V,0.0008335206453500971
num__id_05,id_05,6.9961628913879395,identity,0.0008308598808239658
num__V50,V50,6.98707389831543,V,0.000829780477754273
num__V136,V136,6.922029972076416,V,0.0008220559022058972
num__V109,V109,6.920699119567871,V,0.0008218978510035723
num__id_07,id_07,6.917703151702881,identity,0.0008215420517544837
cat__card4_visa,card4,6.861958980560303,card,0.0008149219092404827
num__id_20,id_20,6.780478000640869,identity,0.0008052452795913051
num__V299,V299,6.74545955657959,V,0.0008010865113191697
num__V276,V276,6.7105712890625,V,0.0007969432027311026
num__id_18,id_18,6.694877624511719,identity,0.0007950794330532405
num__V100,V100,6.681031703948975,V,0.0007934351002829413
num__V332,V332,6.633234977722168,V,0.0007877587913014188
freq__freq_card5,card5,6.563695430755615,frequency,0.000779500318678332
num__V80,V80,6.558068752288818,V,0.0007788320979017528
num__V172,V172,6.557743549346924,V,0.0007787934770060218
num__V157,V157,6.536721706390381,V,0.0007762969362300668
num__V16,V16,6.464419841766357,V,0.0007677104125087831
num__V318,V318,6.4595417976379395,V,0.0007671310990728166
cat__id_38_T,id_38,6.432776927947998,identity,0.0007639525200737159
num__V291,V291,6.402866363525391,V,0.0007604003603574039
num__V139,V139,6.369921684265137,V,0.0007564878710816534
